layer,block_size,target_sparsity,mask_type,local_blocks,local_budget_overflow_rate,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass
23,16,0.5,random,0,0.0,0.5047348484848485,0.4952651515151515,0.47879722714424133,0.48528313636779785,0.874415934085846,0.5212028622627258,0.5124712586402893,1.0,0.8087906837463379,0.39859169721603394,1.0089234113693237,12.530410766601562,0.7518877301897322,False,False
23,16,0.5,mean_pooled_score,0,0.0,0.5454545454545454,0.45454545454545453,0.6878424882888794,0.7659221887588501,0.9761026501655579,0.3121574819087982,0.3518770635128021,1.0,0.8780520558357239,0.6096563339233398,0.5618149638175964,7.3368024826049805,0.7758265904017857,False,False
23,16,0.5,oracle_block_mass,0,0.0,0.48484848484848486,0.5151515151515151,0.8444118499755859,0.860014796257019,0.9991868138313293,0.15558815002441406,0.15822871029376984,0.3283238112926483,0.9826759696006775,0.9558383226394653,0.3111763000488281,3.4278666973114014,0.7416011265345982,False,False
23,16,0.5,local_window,1,0.0,0.25757575757575757,0.7424242424242424,0.7787157297134399,0.9999998211860657,1.0,0.22128424048423767,0.21198885142803192,0.6321196556091309,0.9337983131408691,0.8138788938522339,0.44256848096847534,5.153361797332764,0.6318359375,False,False
23,16,0.5,local_window,2,0.0,0.25757575757575757,0.7424242424242424,0.7787157297134399,0.9999998211860657,1.0,0.22128424048423767,0.21198885142803192,0.6321196556091309,0.9337983131408691,0.8138788938522339,0.44256848096847534,5.153361797332764,0.6318359375,False,False
23,16,0.5,local_window,4,0.0,0.25757575757575757,0.7424242424242424,0.7787157297134399,0.9999998211860657,1.0,0.22128424048423767,0.21198885142803192,0.6321196556091309,0.9337983131408691,0.8138788938522339,0.44256848096847534,5.153361797332764,0.6318359375,False,False
23,16,0.5,local_plus_score,1,1.0,0.48484848484848486,0.5151515151515151,0.7859984636306763,0.8200886249542236,0.9985037446022034,0.21400156617164612,0.23699548840522766,0.5293481945991516,0.9575017094612122,0.8985736966133118,0.42800313234329224,4.880572319030762,0.7490234375,False,False
23,16,0.5,local_plus_score,2,1.0,0.4829545454545454,0.5170454545454546,0.7815250754356384,0.808815598487854,0.9999871850013733,0.21847495436668396,0.24739697575569153,0.5701320171356201,0.9493995308876038,0.8692300915718079,0.4369499087333679,4.976505756378174,0.748046875,False,False
23,16,0.5,local_plus_score,4,1.0,0.4734848484848485,0.5265151515151515,0.7715187072753906,0.7865753173828125,0.9999999403953552,0.22848138213157654,0.2626994252204895,0.6059173345565796,0.9448882937431335,0.8702367544174194,0.4569627642631531,5.1888427734375,0.7431640625,False,False
23,16,0.5,local_plus_oracle,1,1.0,0.48484848484848486,0.5151515151515151,0.8168298602104187,0.8443101644515991,0.9991868138313293,0.1831701546907425,0.19144631922245026,0.40899884700775146,0.9749062657356262,0.9382559657096863,0.366340309381485,4.086482048034668,0.7490234375,False,False
