layer,block_size,target_sparsity,mask_type,oracle_gap_mass,oracle_gap_l2
23,16,0.5,local_plus_landmark,0.11212629079818726,0.15376438200473785
23,16,0.5,local_plus_landmark,0.10244184732437134,0.1421343833208084
23,16,0.5,local_plus_landmark,0.09150397777557373,0.1322862058877945
23,16,0.5,local_plus_landmark,0.08686894178390503,0.12367428839206696
23,16,0.5,local_plus_landmark,0.114127516746521,0.15533341467380524
23,16,0.5,local_plus_landmark,0.10610157251358032,0.14706076681613922
23,16,0.5,aglr_adaptive_m0.90,0.08977222442626953,0.13533632457256317
23,16,0.5,aglr_adaptive_m0.90,0.06918257474899292,0.1059558242559433
23,16,0.5,aglr_adaptive_m0.90,0.07347166538238525,0.11206711828708649
23,16,0.5,aglr_adaptive_m0.90,0.0576213002204895,0.08669723570346832
23,16,0.5,aglr_adaptive_m0.90,0.14124047756195068,0.1985740214586258
23,16,0.5,aglr_adaptive_m0.90,0.12113380432128906,0.1635044366121292
23,16,0.5,aglr_adaptive_m0.90,0.09879237413406372,0.14532624185085297
23,16,0.5,aglr_adaptive_m0.90,0.08307540416717529,0.12127970159053802
23,16,0.5,aglr_adaptive_m0.95,0.07244449853897095,0.11269687116146088
23,16,0.5,aglr_adaptive_m0.95,0.0593906044960022,0.09312008321285248
23,16,0.5,aglr_adaptive_m0.95,0.06441539525985718,0.09879396855831146
23,16,0.5,aglr_adaptive_m0.95,0.052551329135894775,0.07903289794921875
23,16,0.5,aglr_adaptive_m0.95,0.10817515850067139,0.15609867870807648
23,16,0.5,aglr_adaptive_m0.95,0.09401655197143555,0.13228459656238556
23,16,0.5,aglr_adaptive_m0.95,0.08297145366668701,0.1240827888250351
23,16,0.5,aglr_adaptive_m0.95,0.07145565748214722,0.10750122368335724
23,16,0.6,random,0.40832147002220154,0.4052697569131851
23,16,0.6,mean_pooled_score,0.16758209466934204,0.22159017622470856
23,16,0.6,oracle_block_mass,0.0,0.0
23,16,0.6,local_window,0.0813787579536438,0.05502660572528839
23,16,0.6,landmark,0.08885788917541504,0.13032011687755585
23,16,0.6,landmark,0.08575332164764404,0.12520070374011993
23,16,0.6,landmark,0.10675579309463501,0.1494980901479721
23,16,0.6,landmark,0.10156762599945068,0.1447490006685257
23,16,0.6,local_plus_landmark,0.10166698694229126,0.14604662358760834
23,16,0.6,local_plus_landmark,0.09812885522842407,0.1414843648672104
23,16,0.6,local_plus_landmark,0.12585079669952393,0.17252658307552338
23,16,0.6,local_plus_landmark,0.12086522579193115,0.16605384647846222
23,16,0.6,local_plus_landmark,0.11026734113693237,0.1561695784330368
23,16,0.6,local_plus_landmark,0.10661512613296509,0.15187273919582367
23,16,0.6,local_plus_landmark,0.1326085329055786,0.17248733341693878
23,16,0.6,local_plus_landmark,0.12579774856567383,0.16804437339305878
23,16,0.6,aglr_adaptive_m0.90,0.03884857892990112,0.0835966020822525
