layer,block_size,target_sparsity,mask_type,local_blocks,landmark_method,num_landmarks,score_method,local_budget_overflow_rate,oracle_gap_mass,oracle_gap_l2,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass
12,16,0.4,aglr_adaptive_m0.90,1,mean_plus_topk_norm,2,max,0.9174107142857143,0.17612814903259277,0.3376934751868248,0.4464285714285714,0.5535714285714286,0.7819471955299377,0.8618911504745483,0.998929500579834,0.21805275976657867,0.38893407583236694,1.1243007183074951,0.9672582745552063,0.9377401471138,0.43610551953315735,5.3158464431762695,0.7292131696428572,False,False
12,16,0.4,aglr_adaptive_m0.90,2,mean_plus_topk_norm,2,max,0.9799107142857143,0.14267432689666748,0.26133181899785995,0.4207251082251082,0.5792748917748918,0.815401017665863,0.8930215835571289,0.9995176196098328,0.18459902703762054,0.3125724196434021,0.9321523904800415,0.9794386029243469,0.959614634513855,0.3691980242729187,4.488096714019775,0.7159598214285714,False,False
12,16,0.4,aglr_adaptive_m0.90,1,mean_plus_topk_norm,2,hybrid,0.9575892857142857,0.17287707328796387,0.3388807997107506,0.4329004329004329,0.5670995670995671,0.7851982712745667,0.8674572110176086,0.999090850353241,0.21480175852775574,0.3901214003562927,1.1576606035232544,0.9669674038887024,0.9353439807891846,0.4296035170555115,5.252220630645752,0.7222377232142857,False,False
12,16,0.4,aglr_adaptive_m0.90,2,mean_plus_topk_norm,2,hybrid,1.0,0.1457783579826355,0.27092521637678146,0.4185606060606061,0.5814393939393939,0.812296986579895,0.8887700438499451,0.9995980858802795,0.18770292401313782,0.3221658170223236,0.9532514214515686,0.978751540184021,0.9583691358566284,0.37540584802627563,4.57578706741333,0.71484375,False,False
12,16,0.4,aglr_adaptive_m0.95,1,mean_plus_max_norm,2,max,0.96875,0.18037766218185425,0.3466842994093895,0.4330357142857143,0.5669642857142857,0.7776976823806763,0.8440979719161987,0.9992578625679016,0.22230230271816254,0.39792490005493164,1.125495195388794,0.9673925042152405,0.9345620274543762,0.4446046054363251,5.435367107391357,0.7223074776785714,False,False
12,16,0.4,aglr_adaptive_m0.95,2,mean_plus_max_norm,2,max,0.9933035714285714,0.15494126081466675,0.28436511009931564,0.4201839826839827,0.5798160173160173,0.8031340837478638,0.8652864694595337,0.9996546506881714,0.19686590135097504,0.3356057107448578,0.9530560374259949,0.9784916639328003,0.9552397727966309,0.3937317728996277,4.8047637939453125,0.7156808035714286,False,False
12,16,0.4,aglr_adaptive_m0.95,1,mean_plus_max_norm,2,hybrid,0.9888392857142857,0.17954683303833008,0.34672435373067856,0.42600108225108224,0.5739989177489178,0.7785285115242004,0.8487015962600708,0.9992696642875671,0.22147151827812195,0.3979649543762207,1.129170298576355,0.9677924513816833,0.9347079992294312,0.4429430365562439,5.421827793121338,0.7186802455357143,False,False
12,16,0.4,aglr_adaptive_m0.95,2,mean_plus_max_norm,2,hybrid,1.0,0.1555069088935852,0.28309138864278793,0.4185606060606061,0.5814393939393939,0.8025684356689453,0.8675073385238647,0.9996502995491028,0.1974315494298935,0.3343319892883301,0.9496930241584778,0.9790406823158264,0.9569554924964905,0.3948631286621094,4.8189215660095215,0.71484375,False,False
12,16,0.4,aglr_adaptive_m0.95,1,mean_plus_topk_norm,2,max,0.9799107142857143,0.16695809364318848,0.32717227190732956,0.4281655844155844,0.5718344155844156,0.791117250919342,0.8758450746536255,0.9989556074142456,0.20888271927833557,0.3784128725528717,1.1200531721115112,0.967654824256897,0.9391112923622131,0.41776543855667114,5.100858211517334,0.7197963169642857,False,False
12,16,0.4,aglr_adaptive_m0.95,2,mean_plus_topk_norm,2,max,1.0,0.14160650968551636,0.2604174539446831,0.4185606060606061,0.5814393939393939,0.8164688348770142,0.8943718671798706,0.9995176196098328,0.18353115022182465,0.3116580545902252,0.9305458068847656,0.9794645309448242,0.9596850872039795,0.3670623004436493,4.46396541595459,0.71484375,False,False
