layer,strategy_name,group_size,valid_tiles,actual_sparsity,naive_mismatch_rate,false_drop_rate,false_keep_rate,certificate_violations,certimask_exact_match_rate,analytic_refinement_rate,actual_refinement_rate,score_error_p50,score_error_p90,score_error_p99,bound_p50,bound_p90,bound_p99,rho_p50,rho_p90,rho_p99,rho_max,score_std,abs_score_p50,abs_score_p90,abs_score_p99
4,k_only_per_group_g8_coordinate_analytic,8,29120,0.8658653846153846,0.020054945054945057,0.0012706043956043956,0.01878434065934066,0,1.0,0.08083791208791209,0.08083791208791209,0.009501084685325623,0.035119153559207916,0.06770365685224533,0.15371444821357727,0.22812382876873016,0.2824942469596863,15.634346008300781,84.92549896240234,857.2208251953125,129906401280.0,9.922460556030273,9.236227035522461,14.804672241210938,17.891225814819336
4,k_only_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.017788461538461538,0.0013049450549450549,0.016483516483516484,0,1.0,0.06981456043956044,0.06981456043956044,0.007160186767578125,0.03226473182439804,0.06438259780406952,0.12019520998001099,0.18268345296382904,0.24402490258216858,16.614824295043945,93.36878967285156,916.015380859375,122295771136.0,9.922460556030273,9.236227035522461,14.804672241210938,17.891225814819336
4,k_only_per_vector_coordinate_analytic,0,29120,0.8658653846153846,0.02400412087912088,0.0027815934065934067,0.021222527472527473,0,1.0,0.3051510989010989,0.3051510989010989,0.04742187261581421,0.10668697208166122,0.15411776304244995,1.0068573951721191,1.1965241432189941,1.2552951574325562,19.776039123535156,101.69396209716797,1064.9112548828125,1203525255168.0,9.922460556030273,9.236227035522461,14.804672241210938,17.891225814819336
4,qk_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.02036401098901099,0.001820054945054945,0.018543956043956044,0,1.0,0.11555631868131869,0.11555631868131869,0.01050424575805664,0.054523564875125885,0.10969622433185577,0.25155287981033325,0.4077199399471283,0.5398513078689575,23.211910247802734,136.99688720703125,1403.472412109375,250957791232.0,9.922460556030273,9.236227035522461,14.804672241210938,17.891225814819336
5,k_only_per_group_g16_coordinate_analytic,16,29120,0.8658653846153846,0.02184065934065934,0.001407967032967033,0.020432692307692308,0,1.0,0.09742445054945055,0.09742445054945055,0.011408805847167969,0.03224858641624451,0.062273576855659485,0.16165731847286224,0.21705131232738495,0.2515009939670563,13.946676254272461,75.06195831298828,742.0617065429688,97081.171875,2.479304313659668,6.955861568450928,10.77685260772705,14.244711875915527
5,k_only_per_group_g8_coordinate_analytic,8,29120,0.8658653846153846,0.019230769230769232,0.0008585164835164835,0.018372252747252748,0,1.0,0.08210851648351648,0.08210851648351648,0.006679058074951172,0.01719684526324272,0.030597414821386337,0.12566980719566345,0.15559615194797516,0.18651659786701202,18.23503875732422,95.10738372802734,921.2540893554688,355739.5625,2.479304313659668,6.955861568450928,10.77685260772705,14.244711875915527
5,k_only_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.017925824175824175,0.0007554945054945055,0.017170329670329672,0,1.0,0.07348901098901099,0.07348901098901099,0.005003452301025391,0.012491845525801182,0.022144678980112076,0.1052825003862381,0.12924540042877197,0.14258083701133728,20.506004333496094,106.2197494506836,1116.648681640625,98618163200.0,2.479304313659668,6.955861568450928,10.77685260772705,14.244711875915527
5,k_only_per_vector_coordinate_analytic,0,29120,0.8658653846153846,0.02616758241758242,0.004361263736263736,0.02180631868131868,0,1.0,0.3350274725274725,0.3350274725274725,0.03498339653015137,0.07768945395946503,0.11910150200128555,0.6937450170516968,0.8928796648979187,1.0064771175384521,19.0457706451416,97.62955474853516,1036.89501953125,614468747264.0,2.479304313659668,6.955861568450928,10.77685260772705,14.244711875915527
5,qk_per_group_g4_coordinate_analytic,4,29120,0.8658653846153846,0.01806318681318681,0.0009958791208791208,0.01706730769230769,0,1.0,0.12029532967032967,0.12029532967032967,0.009354352951049805,0.024173259735107422,0.039470747113227844,0.22310078144073486,0.2854172885417938,0.3206317722797394,23.324703216552734,122.04368591308594,1257.4794921875,137733.46875,2.479304313659668,6.955861568450928,10.77685260772705,14.244711875915527
6,k_only_per_group_g16_coordinate_analytic,16,29120,0.8658653846153846,0.02383241758241758,0.001098901098901099,0.022733516483516483,0,1.0,0.08372252747252747,0.08372252747252747,0.012905597686767578,0.04885515943169594,0.08122871816158295,0.12305906414985657,0.2333611398935318,0.25654032826423645,8.849846839904785,50.95270538330078,551.2366943359375,228693.8125,6.13985538482666,5.614675521850586,10.452925682067871,14.467829704284668
6,k_only_per_group_g8_coordinate_analytic,8,29120,0.8658653846153846,0.02345467032967033,0.0009958791208791208,0.02245879120879121,0,1.0,0.076614010989011,0.076614010989011,0.013113856315612793,0.04501466453075409,0.07360105216503143,0.10642147809267044,0.2036781758069992,0.2269490510225296,7.484779357910156,40.153507232666016,415.76995849609375,189656252416.0,6.13985538482666,5.614675521850586,10.452925682067871,14.467829704284668
