layer,strategy,group_size,quantized_side,certificate_type,valid_tiles,actual_sparsity,naive_mismatch_rate,false_drop_rate,false_keep_rate,refinement_rate,certimask_exact_match_rate,certificate_violations,bound_p50,bound_p90,bound_p99,margin_over_bound_p50,margin_over_bound_p90,score_error_p50,score_error_p90,score_error_p99,rho_p50,rho_p90,rho_p99,rho_max,refinement_reduction_vs_baseline,naive_mismatch_reduction_vs_baseline
5,qk_per_group_g32_coordinate_analytic,32,qk,analytic,29120,0.8658653846153846,0.02245879120879121,0.0029876373626373624,0.019471153846153846,0.2801510989010989,1.0,0,0.5841301679611206,0.7184652090072632,0.8261065483093262,1.8713281154632568,4.632485389709473,0.029842853546142578,0.07433737814426422,0.12461680918931961,19.004283905029297,103.54371643066406,1028.905517578125,620090753024.0,0.16325549450549448,0.0071085164835164825
5,qk_per_group_g16_coordinate_analytic,16,qk,analytic,29120,0.8658653846153846,0.021703296703296703,0.002506868131868132,0.019196428571428573,0.19934752747252749,1.0,0,0.4047531485557556,0.50648432970047,0.5730020403862,2.66940975189209,6.5538811683654785,0.02322864532470703,0.057474710047245026,0.09735222160816193,17.110057830810547,93.44702911376953,958.4252319335938,187877.8125,0.2440590659340659,0.007864010989010989
5,qk_per_group_g8_coordinate_analytic,8,qk,analytic,29120,0.8658653846153846,0.019505494505494506,0.0013049450549450549,0.018200549450549452,0.14615384615384616,1.0,0,0.2805868685245514,0.3543725311756134,0.39717838168144226,3.864973545074463,9.699580192565918,0.012573957443237305,0.03145618364214897,0.051632463932037354,21.692710876464844,116.94750213623047,1221.3408203125,300962316288.0,0.2972527472527472,0.010061813186813186
5,qk_per_group_g4_coordinate_analytic,4,qk,analytic,29120,0.8658653846153846,0.01806318681318681,0.0009958791208791208,0.01706730769230769,0.12029532967032967,1.0,0,0.22310078144073486,0.2854172885417938,0.3206317722797394,4.851566314697266,12.136590957641602,0.009354352951049805,0.024173259735107422,0.039470747113227844,23.324703216552734,122.04368591308594,1257.4794921875,137733.46875,0.3231112637362637,0.01150412087912088
5,k_only_per_vector_coordinate_analytic,0,k_only,analytic,29120,0.8658653846153846,0.02616758241758242,0.004361263736263736,0.02180631868131868,0.3350274725274725,1.0,0,0.6937450170516968,0.8928796648979187,1.0064771175384521,1.5703831911087036,3.984334945678711,0.03498339653015137,0.07768945395946503,0.11910150200128555,19.0457706451416,97.62955474853516,1036.89501953125,614468747264.0,0.10837912087912088,0.003399725274725273
5,k_only_per_group_g16_coordinate_analytic,16,k_only,analytic,29120,0.8658653846153846,0.02184065934065934,0.001407967032967033,0.020432692307692308,0.09742445054945055,1.0,0,0.16165731847286224,0.21705131232738495,0.2515009939670563,6.60467529296875,16.44643783569336,0.011408805847167969,0.03224858641624451,0.062273576855659485,13.946676254272461,75.06195831298828,742.0617065429688,97081.171875,0.34598214285714285,0.007726648351648352
5,k_only_per_group_g8_coordinate_analytic,8,k_only,analytic,29120,0.8658653846153846,0.019230769230769232,0.0008585164835164835,0.018372252747252748,0.08210851648351648,1.0,0,0.12566980719566345,0.15559615194797516,0.18651659786701202,8.583642959594727,22.296274185180664,0.006679058074951172,0.01719684526324272,0.030597414821386337,18.23503875732422,95.10738372802734,921.2540893554688,355739.5625,0.3612980769230769,0.01033653846153846
5,k_only_per_group_g4_coordinate_analytic,4,k_only,analytic,29120,0.8658653846153846,0.017925824175824175,0.0007554945054945055,0.017170329670329672,0.07348901098901099,1.0,0,0.1052825003862381,0.12924540042877197,0.14258083701133728,10.297463417053223,26.688724517822266,0.005003452301025391,0.012491845525801182,0.022144678980112076,20.506004333496094,106.2197494506836,1116.648681640625,98618163200.0,0.3699175824175824,0.011641483516483517
6,baseline_per_vector_qk_coordinate_analytic,0,qk,analytic,29120,0.8658653846153846,0.024210164835164836,0.003228021978021978,0.020982142857142855,0.2679945054945055,1.0,0,0.6114150285720825,0.8403463959693909,0.9860042333602905,1.9952924251556396,6.3524274826049805,0.03307604789733887,0.08670072257518768,0.1458633542060852,17.876785278320312,94.71222686767578,917.5485229492188,597129494528.0,0.0,0.0
6,qk_per_group_g32_coordinate_analytic,32,qk,analytic,29120,0.8658653846153846,0.024141483516483517,0.002300824175824176,0.02184065934065934,0.22218406593406592,1.0,0,0.4478762149810791,0.7697378396987915,0.8923956155776978,2.502596855163574,9.051959991455078,0.026961565017700195,0.08164863288402557,0.14903947710990906,16.51638412475586,88.92771911621094,929.6581420898438,213410.640625,0.045810439560439564,6.868131868131844e-05
6,qk_per_group_g16_coordinate_analytic,16,qk,analytic,29120,0.8658653846153846,0.024107142857142858,0.0016483516483516484,0.02245879120879121,0.15638736263736264,1.0,0,0.31100109219551086,0.5314797759056091,0.6199355125427246,3.6544418334960938,13.031219482421875,0.01977825164794922,0.07064171135425568,0.12841269373893738,15.058870315551758,80.1606674194336,785.7015991210938,197327.59375,0.11160714285714285,0.00010302197802197766
6,qk_per_group_g8_coordinate_analytic,8,qk,analytic,29120,0.8658653846153846,0.02304258241758242,0.0013392857142857143,0.021703296703296703,0.13052884615384616,1.0,0,0.2490420639514923,0.4225800037384033,0.49304527044296265,4.548722267150879,16.060474395751953,0.018312811851501465,0.06522836536169052,0.11782630532979965,13.141016006469727,70.14112091064453,787.2494506835938,232135.109375,0.13746565934065932,0.001167582417582417
6,qk_per_group_g4_coordinate_analytic,4,qk,analytic,29120,0.8658653846153846,0.0176510989010989,0.0007211538461538462,0.016929945054945054,0.09714972527472528,1.0,0,0.1848822981119156,0.2612953782081604,0.30487948656082153,6.760379314422607,20.83733367919922,0.009398937225341797,0.023421619087457657,0.037800293415784836,19.4633846282959,104.67955017089844,1123.0474853515625,191391.859375,0.17084478021978022,0.006559065934065935
6,k_only_per_vector_coordinate_analytic,0,k_only,analytic,29120,0.8658653846153846,0.0196771978021978,0.001407967032967033,0.01826923076923077,0.1862293956043956,1.0,0,0.30617350339889526,0.6935536861419678,0.8093605637550354,3.208082675933838,15.722524642944336,0.013437986373901367,0.050247903913259506,0.08269086480140686,22.3507022857666,127.31132507324219,1310.6773681640625,503976.625,0.08176510989010988,0.004532967032967034
