layer,target_sparsity,mask_type,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2
20,0.5,aglr_antidiagonal_logsumexp,0.029273152351379395,0.04523120075464249,0.12251430749893188,0.1645798161625862
20,0.5,aglr_antidiagonal_topk_mean,0.03016442060470581,0.045548781752586365,0.12162303924560547,0.16426223516464233
20,0.6,mean_pooled_score,0.1912272572517395,0.2670157179236412,0.7154549360275269,-0.35368719696998596
20,0.6,oracle_block_mass,0.09331780672073364,0.08667147904634476,0.9066821932792664,-0.08667147904634476
20,0.6,aglr_antidiagonal_logsumexp,0.04288351535797119,0.06709916144609451,0.1483437418937683,0.1999165564775467
20,0.6,aglr_antidiagonal_topk_mean,0.043700993061065674,0.06990822404623032,0.14752626419067383,0.1971074938774109
22,0.3,mean_pooled_score,0.07674545049667358,0.11502449959516525,0.8546438217163086,-0.20178958773612976
22,0.3,oracle_block_mass,0.06861072778701782,0.08676508814096451,0.9313892722129822,-0.08676508814096451
22,0.3,aglr_antidiagonal_logsumexp,0.021279454231262207,0.03752520680427551,0.05546599626541138,0.07749929279088974
22,0.3,aglr_antidiagonal_topk_mean,0.0211489200592041,0.03437312692403793,0.05559653043746948,0.08065137267112732
22,0.4,mean_pooled_score,0.08895128965377808,0.14136795699596405,0.7998583912849426,-0.27808329463005066
22,0.4,oracle_block_mass,0.1111903190612793,0.1367153376340866,0.8888096809387207,-0.1367153376340866
22,0.4,aglr_antidiagonal_logsumexp,0.03558915853500366,0.0629301518201828,0.053362131118774414,0.07843780517578125
22,0.4,aglr_antidiagonal_topk_mean,0.03581339120864868,0.0631866306066513,0.053137898445129395,0.07818132638931274
22,0.5,mean_pooled_score,0.10210895538330078,0.16262614727020264,0.7242070436477661,-0.3750905990600586
22,0.5,oracle_block_mass,0.1736840009689331,0.21246445178985596,0.8263159990310669,-0.21246445178985596
22,0.5,aglr_antidiagonal_logsumexp,0.046614110469818115,0.07682892680168152,0.055494844913482666,0.08579722046852112
22,0.5,aglr_antidiagonal_topk_mean,0.045291125774383545,0.07730337977409363,0.056817829608917236,0.08532276749610901
22,0.6,mean_pooled_score,0.11196660995483398,0.19711613655090332,0.6532896161079407,-0.48387643694877625
22,0.6,oracle_block_mass,0.23474377393722534,0.2867603003978729,0.7652562260627747,-0.2867603003978729
22,0.6,aglr_antidiagonal_logsumexp,0.0612025260925293,0.09566214680671692,0.05076408386230469,0.1014539897441864
