layer,target_sparsity,mask_type,sample_pattern,aggregation,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,strict_quality_pass,practical_quality_pass,strong_quality_pass,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2
16,0.5,dense,none,none,0.0,1.0,1.0,1.0,1.000000238418579,-2.1042069420218468e-08,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.008854091167449951,-0.03458811715245247,1.0,0.0
16,0.5,mean_pooled_score,none,none,0.523076923076923,0.47692307692307695,0.8017944693565369,0.9963740110397339,0.9999666213989258,0.19820544123649597,1.5116852521896362,4.3027544021606445,0.8944911360740662,0.5302945375442505,0.3651609420776367,5.282430171966553,0.7643519810267857,False,False,False,0.18935143947601318,1.4770971350371838,0.8017944693565369,-1.5116852521896362
16,0.5,oracle_block_mass,none,none,0.49230769230769234,0.5076923076923077,0.99114590883255,0.9991884231567383,0.9999914169311523,0.008854108862578869,0.03458811715245247,0.08756016194820404,0.9936332702636719,0.9968158006668091,0.017708251252770424,0.18210025131702423,0.7480403355189732,False,True,True,0.008854091167449951,0.03458811715245247,0.99114590883255,-0.03458811715245247
16,0.5,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.4918269230769231,0.5081730769230769,0.9626873135566711,0.9989084005355835,0.9999920725822449,0.03731268644332886,0.37994369864463806,0.12050801515579224,0.9748703241348267,0.9944647550582886,0.0746254101395607,0.9507669806480408,0.749267578125,False,False,False,0.028458595275878906,0.3453555814921856,0.16089284420013428,1.1317415535449982
16,0.5,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.4918269230769231,0.5081730769230769,0.9588988423347473,0.9987625479698181,0.9999906420707703,0.04110115021467209,0.3891015350818634,0.1344185173511505,0.9740404486656189,0.9942784309387207,0.08220232278108597,1.0499557256698608,0.749267578125,False,False,False,0.032247066497802734,0.35451341792941093,0.15710437297821045,1.1225837171077728
16,0.6,dense,none,none,0.0,1.0,1.0,1.0,1.000000238418579,-2.1042069420218468e-08,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.0127829909324646,-0.04527606815099716,1.0,0.0
16,0.6,mean_pooled_score,none,none,0.6182692307692308,0.3817307692307692,0.7560508847236633,0.9906293749809265,0.9999080896377563,0.24394908547401428,1.9644695520401,7.302935600280762,0.8746089339256287,0.36178311705589294,0.4566482901573181,6.490960121154785,0.8122585841587612,False,False,False,0.23116612434387207,1.919193483889103,0.7560508847236633,-1.9644695520401
16,0.6,oracle_block_mass,none,none,0.5875,0.4125,0.9872170090675354,0.9983464479446411,0.9999701976776123,0.012783003970980644,0.04527606815099716,0.12540924549102783,0.9911986589431763,0.9936847686767578,0.025566041469573975,0.26341861486434937,0.7955055236816406,True,True,True,0.0127829909324646,0.04527606815099716,0.9872170090675354,-0.04527606815099716
16,0.6,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.5870192307692308,0.4129807692307692,0.9433818459510803,0.9974837303161621,0.9999694228172302,0.056618113070726395,0.553331732749939,0.2129230499267578,0.9643720984458923,0.9851577877998352,0.11323624849319458,1.4453924894332886,0.797607421875,False,False,False,0.04383516311645508,0.5080556645989418,0.187330961227417,1.4111378192901611
16,0.6,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.5870192307692308,0.4129807692307692,0.9356492161750793,0.997177004814148,0.9999679327011108,0.06435088068246841,0.5730103850364685,0.27067679166793823,0.962938129901886,0.9848926067352295,0.12870179116725922,1.649671196937561,0.797607421875,False,False,False,0.051567792892456055,0.5277343168854713,0.17959833145141602,1.3914591670036316
20,0.3,dense,none,none,0.0,1.0,1.0,1.0,1.0000001192092896,1.2930415627110392e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.02444279193878174,-0.0252902340143919,1.0,0.0
20,0.3,mean_pooled_score,none,none,0.31682692307692306,0.6831730769230769,0.9083264470100403,0.9716981649398804,0.9951987862586975,0.09167354553937912,0.10782003402709961,0.18247459828853607,0.9757188558578491,0.9880193471908569,0.16772209107875824,2.1935627460479736,0.6602287292480469,False,False,False,0.06723076105117798,0.08252980001270771,0.9083264470100403,-0.10782003402709961
20,0.3,oracle_block_mass,none,none,0.2860576923076923,0.7139423076923077,0.9755572080612183,0.9828453063964844,0.9978851675987244,0.024442898109555244,0.0252902340143919,0.06272754818201065,0.9992667436599731,0.9982162117958069,0.04888579621911049,0.483049601316452,0.6445383344377791,False,False,False,0.02444279193878174,0.0252902340143919,0.9755572080612183,-0.0252902340143919
20,0.3,aglr_antidiagonal_logsumexp,both_diagonals,logsumexp,0.2860576923076923,0.7139423076923077,0.9721450209617615,0.9806433916091919,0.9975122213363647,0.02785496786236763,0.028298405930399895,0.068511962890625,0.9990901947021484,0.9978730082511902,0.05570993945002556,0.5589295625686646,0.644775390625,False,False,False,0.003412187099456787,0.0030081719160079956,0.06381857395172119,0.07952162809669971
20,0.3,aglr_antidiagonal_topk_mean,both_diagonals,topk_mean,0.2860576923076923,0.7139423076923077,0.9707207083702087,0.9803962707519531,0.9975789785385132,0.029279207810759544,0.029141779989004135,0.07138107717037201,0.9990025758743286,0.9976534843444824,0.058558423072099686,0.5937654376029968,0.644775390625,False,False,False,0.0048364996910095215,0.003851545974612236,0.06239426136016846,0.07867825403809547
20,0.4,dense,none,none,0.0,1.0,1.0,1.0,1.0000001192092896,1.2930415627110392e-09,0.0,0.0,1.0,0.9999998807907104,0.0,0.0,0.49951171875,False,False,False,-0.04149085283279419,-0.04087648168206215,1.0,0.0
20,0.4,mean_pooled_score,none,none,0.4182692307692307,0.5817307692307693,0.8545211553573608,0.9517844915390015,0.9912984371185303,0.14547888934612274,0.1876024454832077,0.3845711946487427,0.9656085968017578,0.9613631963729858,0.2753327786922455,3.5090408325195312,0.7116933550153459,False,False,False,0.10398799180984497,0.14672596380114555,0.8545211553573608,-0.1876024454832077
20,0.4,oracle_block_mass,none,none,0.38605769230769227,0.6139423076923077,0.9585091471672058,0.9697582721710205,0.9952600002288818,0.041490811854600906,0.04087648168206215,0.09801656752824783,0.998128354549408,0.9956597089767456,0.08298162370920181,0.8349940180778503,0.6948781694684709,False,False,False,0.04149085283279419,0.04087648168206215,0.9585091471672058,-0.04087648168206215
