layer,block_size,target_sparsity,mask_type,sample_pattern,aggregation,local_blocks,hybrid_weights,local_budget_overflow_rate,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,kept_attention_mass_p50,kept_attention_mass_p90,dropped_attention_mass_mean,output_l2_relative_mean,output_l2_relative_p90,output_cosine_mean,output_cosine_p10,prob_l1_mean,prob_kl_mean,token_mask_sparsity,quality_pass,strong_quality_pass,oracle_gap_mass,oracle_gap_l2
12,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.70_A0.30,0.09375,0.37310606060606055,0.6268939393939394,0.914638340473175,0.9713714122772217,0.9997585415840149,0.08536164462566376,0.13219210505485535,0.2723376750946045,0.9898200631141663,0.984674334526062,0.17072328925132751,1.983131766319275,0.69140625,False,False,0.04343700408935547,0.0809515044093132
12,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.70_A0.30,0.09375,0.37310606060606055,0.6268939393939394,0.893826425075531,0.9654983878135681,0.999763011932373,0.10617350041866302,0.17030955851078033,0.46475404500961304,0.9885610938072205,0.9820125699043274,0.21234700083732605,2.5224173069000244,0.69140625,False,False,0.06424891948699951,0.11906895786523819
12,16,0.4,hybrid,both_diagonals,logsumexp,2,L0.70_A0.30,0.09375,0.37310606060606055,0.6268939393939394,0.9175172448158264,0.9718325138092041,0.9997621774673462,0.08248274028301239,0.12521187961101532,0.264663964509964,0.9905734062194824,0.984775960445404,0.16496548056602478,1.9078714847564697,0.69140625,False,False,0.0405580997467041,0.07397127896547318
12,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.70_A0.30_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8684660792350769,0.9508280754089355,0.9997441172599792,0.1315339058637619,0.21892394125461578,0.6832864880561829,0.9865957498550415,0.978692889213562,0.2630678117275238,3.1800572872161865,0.69140625,False,False,0.08960926532745361,0.16768334060907364
12,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.70_A0.30_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.9121509790420532,0.9714207649230957,0.9997630715370178,0.08784888684749603,0.13858415186405182,0.28678765892982483,0.9895333647727966,0.9844944477081299,0.17569777369499207,2.0495238304138184,0.69140625,False,False,0.045924365520477295,0.08734355121850967
12,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.70_A0.30_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.890058696269989,0.9636386632919312,0.9997649788856506,0.1099412813782692,0.17785076797008514,0.5081833004951477,0.9884175062179565,0.9815148711204529,0.2198825627565384,2.620598316192627,0.69140625,False,False,0.0680166482925415,0.126610167324543
12,16,0.4,hybrid,both_diagonals,logsumexp,2,L0.70_A0.30_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.9152717590332031,0.971619725227356,0.9997645616531372,0.08472826331853867,0.12993738055229187,0.27553457021713257,0.9903969168663025,0.9844944477081299,0.16945652663707733,1.9666138887405396,0.69140625,False,False,0.04280358552932739,0.07869677990674973
12,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.50_A0.50,0.09375,0.37310606060606055,0.6268939393939394,0.8892903923988342,0.9639133810997009,0.9997880458831787,0.11070948839187622,0.17704971134662628,0.5158932209014893,0.9892416000366211,0.9813487529754639,0.22141900658607483,2.639998197555542,0.69140625,False,False,0.06878495216369629,0.12580911070108414
12,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.50_A0.50,0.09375,0.37310606060606055,0.6268939393939394,0.9390926957130432,0.9760186076164246,0.9997909665107727,0.06090722605586052,0.08482079207897186,0.18414168059825897,0.991726279258728,0.9881879687309265,0.12181446701288223,1.3497389554977417,0.69140625,False,False,0.018982648849487305,0.03358019143342972
12,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.50_A0.50,0.09375,0.37310606060606055,0.6268939393939394,0.9265302419662476,0.9740680456161499,0.999793529510498,0.07346972078084946,0.10931386798620224,0.22194752097129822,0.9911289215087891,0.9858276844024658,0.1469394713640213,1.677581548690796,0.69140625,False,False,0.03154510259628296,0.058073267340660095
12,16,0.4,hybrid,both_diagonals,logsumexp,2,L0.50_A0.50,0.09375,0.37310606060606055,0.6268939393939394,0.9406452178955078,0.9761862754821777,0.9997973442077637,0.059354815632104874,0.08196289837360382,0.18185092508792877,0.9917582869529724,0.98817378282547,0.11870963871479034,1.3102229833602905,0.69140625,False,False,0.017430126667022705,0.030722297728061676
12,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.50_A0.50_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.8843607902526855,0.9627728462219238,0.9997867941856384,0.11563921719789505,0.18738815188407898,0.5565329194068909,0.9884526133537292,0.9810356497764587,0.2312784492969513,2.7691383361816406,0.69140625,False,False,0.07371455430984497,0.13614755123853683
12,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.50_A0.50_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.9368329644203186,0.9761414527893066,0.9997918605804443,0.063167043030262,0.08995205909013748,0.19265010952949524,0.9916437268257141,0.9879368543624878,0.126334086060524,1.4096077680587769,0.69140625,False,False,0.021242380142211914,0.03871145844459534
12,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.50_A0.50_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.9239684343338013,0.9738251566886902,0.9997895956039429,0.07603154331445694,0.1136506125330925,0.23541732132434845,0.9910726547241211,0.9857114553451538,0.15206308662891388,1.743760347366333,0.69140625,False,False,0.03410691022872925,0.062410011887550354
12,16,0.4,hybrid,both_diagonals,logsumexp,2,L0.50_A0.50_R0.10,0.09375,0.37310606060606055,0.6268939393939394,0.9397141337394714,0.9762037396430969,0.9997925758361816,0.060285914689302444,0.08355037868022919,0.1836337447166443,0.9917759895324707,0.98817378282547,0.12057183682918549,1.3341792821884155,0.69140625,False,False,0.018361210823059082,0.03230977803468704
12,16,0.4,hybrid,anti_diagonal,topk_mean,2,L0.30_A0.70,0.09375,0.37310606060606055,0.6268939393939394,0.9041512608528137,0.9696721434593201,0.9998108744621277,0.09584882110357285,0.14881588518619537,0.3588505983352661,0.9902698397636414,0.9835708141326904,0.1916976422071457,2.256413698196411,0.69140625,False,False,0.0539240837097168,0.09757528454065323
12,16,0.4,hybrid,anti_diagonal,logsumexp,2,L0.30_A0.70,0.09375,0.37310606060606055,0.6268939393939394,0.9435803294181824,0.9771281480789185,0.999809205532074,0.056419599801301956,0.07721120119094849,0.17232926189899445,0.9919494986534119,0.9889327883720398,0.11283919960260391,1.234886884689331,0.69140625,False,False,0.014495015144348145,0.02597060054540634
12,16,0.4,hybrid,both_diagonals,topk_mean,2,L0.30_A0.70,0.09375,0.37310606060606055,0.6268939393939394,0.9376530051231384,0.9762601852416992,0.9998211860656738,0.06234704330563545,0.08768988400697708,0.19255231320858002,0.9916523694992065,0.9876431226730347,0.1246940866112709,1.3884586095809937,0.69140625,False,False,0.02042233943939209,0.036449283361434937
