layer,block_size,target_sparsity,local_blocks,aggregation,mask_type,actual_tile_sparsity,attention_tile_work_fraction,kept_attention_mass_mean,output_cosine_mean,output_l2_relative_mean,kept_attention_mass_p50,kept_attention_mass_p90,output_l2_relative_p90,output_cosine_p10,token_mask_sparsity,strict_pass,practical_pass,relaxed_pass,quality_only_pass,oracle_gap_mass,oracle_gap_l2,improvement_over_mean_pooled_mass,improvement_over_mean_pooled_l2,frontier_rank
8,8,0.75,0,topk_mean,aglr_antidiagonal,0.7441860465116279,0.2558139534883721,0.9045574069023132,0.984237551689148,0.1026691347360611,0.9938430786132812,0.9999383687973022,0.2887669801712036,0.9747148156166077,0.8744239807128906,True,True,True,True,0.029104113578796387,0.03862788528203964,0.10340183973312378,0.17601530253887177,11
8,8,0.75,2,topk_mean,aglr_antidiagonal,0.7438226744186047,0.25617732558139533,0.9068471789360046,0.9887484312057495,0.09790505468845367,0.9940635561943054,0.9999535083770752,0.27392226457595825,0.9773003458976746,0.87432861328125,True,True,True,True,0.02681434154510498,0.03386380523443222,0.10569161176681519,0.1807793825864792,12
12,8,0.3,0,logsumexp,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9829856157302856,0.9988311529159546,0.02062704600393772,0.9941092133522034,0.9999583959579468,0.05541146546602249,0.9987325668334961,0.6471214294433594,False,False,False,True,0.0008896589279174805,0.0014693327248096466,0.04845529794692993,0.07175788842141628,0
12,8,0.5,0,logsumexp,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.9495211839675903,0.994090735912323,0.055674728006124496,0.9781609177589417,0.9997380971908569,0.13796383142471313,0.9925473928451538,0.7493782043457031,False,True,True,True,0.002392709255218506,0.0034595653414726257,0.11155414581298828,0.1795879490673542,1
12,8,0.5,0,topk_mean,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.9491623640060425,0.9939854741096497,0.05528820678591728,0.9776425957679749,0.9997172355651855,0.1390080451965332,0.9922789931297302,0.7493457794189453,False,True,True,True,0.0027515292167663574,0.0030730441212654114,0.11119532585144043,0.17997447028756142,2
12,8,0.65,0,logsumexp,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.9134625792503357,0.990010678768158,0.08670448511838913,0.9529196619987488,0.9993300437927246,0.22385048866271973,0.980563759803772,0.8230133056640625,True,True,True,True,0.0035029053688049316,0.0044300854206085205,0.15814554691314697,0.26606545597314835,3
12,8,0.7,0,logsumexp,aglr_antidiagonal,0.6925872093023255,0.3074127906976744,0.8924697041511536,0.9862545728683472,0.10834167152643204,0.9374098777770996,0.9990959167480469,0.2736348509788513,0.9720335006713867,0.8481521606445312,False,False,True,False,0.00435483455657959,0.006246879696846008,0.1772441267967224,0.2936057671904564,4
12,8,0.75,0,logsumexp,aglr_antidiagonal,0.7441860465116279,0.2558139534883721,0.865784764289856,0.9807794690132141,0.13486945629119873,0.9133416414260864,0.9987070560455322,0.3330078721046448,0.9609056711196899,0.8740692138671875,False,False,True,False,0.005488395690917969,0.008035317063331604,0.19656270742416382,0.32903486490249634,5
13,8,0.3,0,logsumexp,aglr_antidiagonal,0.29299903100775193,0.7070009689922481,0.9925891160964966,0.9993486404418945,0.011660757474601269,0.9981927275657654,0.999915361404419,0.025514250621199608,0.9997141361236572,0.6471519470214844,False,False,False,True,0.000964820384979248,0.0016510188579559326,0.0518038272857666,0.0986216263845563,0
13,8,0.5,0,logsumexp,aglr_antidiagonal,0.49612403100775193,0.5038759689922481,0.9732193946838379,0.9957942366600037,0.037852942943573,0.990707278251648,0.9993892312049866,0.08641637861728668,0.9968140125274658,0.7494411468505859,False,True,True,True,0.0030468106269836426,0.004730384796857834,0.11503773927688599,0.23220095038414001,1
13,8,0.65,0,logsumexp,aglr_antidiagonal,0.642562984496124,0.35743701550387597,0.9485424757003784,0.9916712045669556,0.06256429851055145,0.9766019582748413,0.9981955289840698,0.15291598439216614,0.9900466203689575,0.8230419158935547,True,True,True,True,0.005730092525482178,0.007479749619960785,0.15425318479537964,0.32073579728603363,2
